Updated,Type,Module,Source,F/P,Data
2022-10-27 07:12:59,IP_ADDRESS,sfp_dnsresolve,tsk.bcs.ru,0,109.194.39.44
2022-10-27 07:21:40,IP_ADDRESS,sfp_dnsresolve,ufa.bcs.ru,0,109.233.169.161
2022-10-26 23:31:59,IP_ADDRESS,sfp_dnsresolve,kem2.bcs.ru,0,176.196.48.186
2022-10-26 23:30:01,IP_ADDRESS,sfp_dnsresolve,perm2.bcs.ru,0,178.161.144.163
2022-10-26 23:38:41,IP_ADDRESS,sfp_dnsresolve,sur2.bcs.ru,0,178.176.115.250
2022-10-27 00:04:23,IP_ADDRESS,sfp_dnsresolve,nvkz2.bcs.ru,0,178.72.110.138
2022-10-26 22:58:29,IP_ADDRESS,sfp_dnsresolve,kem.bcs.ru,0,178.72.120.50
2022-10-27 23:55:22,IP_ADDRESS,sfp_dnsresolve,wabp.bcs.ru,0,185.169.155.126
2022-10-26 21:37:00,IP_ADDRESS,sfp_dnsresolve,bcs.ru,0,185.169.155.156
2022-10-26 22:56:31,IP_ADDRESS,sfp_dnsresolve,cyber.bcs.ru,0,185.169.155.156
2022-10-26 22:57:34,IP_ADDRESS,sfp_dnsresolve,lot-port.bcs.ru,0,185.169.155.156
2022-10-26 22:59:01,IP_ADDRESS,sfp_dnsresolve,expert.bcs.ru,0,185.169.155.156
2022-10-26 23:25:35,IP_ADDRESS,sfp_dnsresolve,fg.bcs.ru,0,185.169.155.156
2022-10-26 23:32:54,IP_ADDRESS,sfp_dnsresolve,www.bcs.ru,0,185.169.155.156
2022-10-26 23:38:58,IP_ADDRESS,sfp_dnsresolve,passport.bcs.ru,0,185.169.155.156
2022-10-26 23:41:09,IP_ADDRESS,sfp_dnsresolve,ftc.bcs.ru,0,185.169.155.156
2022-10-27 00:11:55,IP_ADDRESS,sfp_dnsresolve,bank.bcs.ru,0,185.169.155.156
2022-10-27 07:23:35,IP_ADDRESS,sfp_dnsresolve,global.bcs.ru,0,185.169.155.156
2022-10-27 07:23:53,IP_ADDRESS,sfp_dnsresolve,static.bcs.ru,0,185.169.155.156
2022-10-27 22:57:44,IP_ADDRESS,sfp_dnsresolve,admin.bcs.ru,0,185.169.155.156
2022-10-27 22:58:41,IP_ADDRESS,sfp_dnsresolve,assets.bcs.ru,0,185.169.155.156
2022-10-27 22:59:26,IP_ADDRESS,sfp_dnsresolve,business.bcs.ru,0,185.169.155.156
2022-10-27 23:00:16,IP_ADDRESS,sfp_dnsresolve,cms.bcs.ru,0,185.169.155.156
2022-10-27 23:00:43,IP_ADDRESS,sfp_dnsresolve,dev.bcs.ru,0,185.169.155.156
2022-10-27 23:02:06,IP_ADDRESS,sfp_dnsresolve,link.bcs.ru,0,185.169.155.156
2022-10-27 23:03:31,IP_ADDRESS,sfp_dnsresolve,mars.bcs.ru,0,185.169.155.156
2022-10-27 23:05:10,IP_ADDRESS,sfp_dnsresolve,old.bcs.ru,0,185.169.155.156
2022-10-27 23:52:25,IP_ADDRESS,sfp_dnsresolve,ftc2.bcs.ru,0,185.169.155.156
2022-10-27 23:55:49,IP_ADDRESS,sfp_dnsresolve,test-bank.bcs.ru,0,185.169.155.156
